iter	MAE	RMSE
0	272083.8148	347905.6119
1	196789.6562	265316.3054
2	176595.5649	240382.3923
3	167812.598	228243.8589
4	163701.516	219974.6684
5	158128.8212	213351.4556
6	143780.293	196491.6182
7	139974.5477	191228.9319
8	134181.1895	183996.6184
9	129447.178	178423.4581
10	128017.9428	176005.8058
11	121784.1915	167185.0256
12	119325.462	163449.4765
13	117305.3901	161380.1592
14	116270.6455	159728.0648
15	113542.261	156148.9155
16	112366.6377	154840.1638
17	108840.7937	151328.1161
18	108203.2908	150650.5124
19	105549.135	147497.1026
20	102780.393	143041.5431
21	100717.6806	139735.4864
22	99688.65913	138247.2652
23	98191.79786	136537.9219
24	96445.79488	134627.8762
25	95364.37386	132968.7574
26	93706.88687	131119.7404
27	93248.43593	130473.1306
28	92622.65889	129826.8866
29	91700.12713	128753.1984
30	90833.92746	127743.5574
31	89750.22812	126203.075
32	88447.78655	124689.5552
33	87875.88256	124150.0853
34	86707.03313	122975.3198
35	86044.39304	122264.1689
36	85604.79971	121830.141
37	84533.70633	121137.6008
38	84044.85026	120463.9364
39	83124.05804	119216.4908
40	82543.52692	118535.9766
41	82080.8051	118084.1974
42	81633.96785	117487.1987
43	81478.28458	117229.3895
44	81121.1895	116842.1302
45	80785.51562	116372.8946
46	79715.83684	115152.1411
47	79522.53006	114928.576
48	78949.32193	113874.3494
49	78590.49487	113397.8263
