iter	Passed	Remaining
0	6	313
1	13	319
2	20	318
3	27	316
4	34	308
5	41	303
6	48	295
7	55	289
8	61	281
9	68	274
10	75	266
11	81	258
12	88	252
13	95	245
14	102	239
15	109	231
16	115	224
17	122	217
18	129	210
19	136	204
20	143	197
21	150	190
22	156	184
23	164	178
24	172	172
25	179	165
26	185	158
27	192	151
28	199	144
29	205	137
30	213	130
31	220	123
32	226	116
33	233	109
34	240	103
35	247	96
36	254	89
37	260	82
38	267	75
39	274	68
40	281	61
41	288	54
42	294	47
43	301	41
44	308	34
45	314	27
46	321	20
47	328	13
48	335	6
49	341	0
